id,username,review_time,book_id,title
1324,kwet6ylbrrk@deleted,2011-07-03,490,"The Moral Animal: Why We Are, the Way We Are: The New Science of Evolutio"
1860,kwet6ylbrrk@deleted,2011-07-03,724,"The Moral Animal: Why We Are, the Way We Are: The New Science of Ev - ACCEPTABLE"
2382,renae_clair,2020-01-29,948,Salamandastron: A Novel of Redwall - Mass Market
2755,cambt3,2019-04-25,1130,National Geographic Readers: Koalas
3257,jacobs68,2023-06-16,1343,Pokmon Crochet Kit: Kit includes everything you need to make Pikachu and instruc
4529,maryann774,2012-01-09,2098,The Hat
7114,jacobs68,2022-04-03,380694,Dog Heaven
9070,jacobs68,2021-07-26,138195,Animal Farm
11802,kwet6ylbrrk@deleted,2023-11-29,94293,"Rumor Has It; An Animal Magnetism Novel - Jill Shalvis, 9780425255827"
11937,renae_clair,2019-05-15,37882,Survivors #1: The Empty City
12075,jacobs68,2007-04-29,284467,Just a Mess (Little Critter) (Look-Look)
13032,jacobs68,2022-09-08,332393,Thunder on the Plains The Story of the American Buffalo
17323,cambt3,2023-06-18,386779,"Scaredy-Cat, Splat! (Splat the Cat)"
18645,kwet6ylbrrk@deleted,2019-06-26,145412,Animal Farm by George Orwell
18844,renae_clair,2023-05-08,73214,Never Touch a Shark
19992,cambt3,2021-05-19,16897,Spring Stinks (Mother Bruce Series)
20283,maryann774,2020-05-06,182705,Hoot
20693,jacobs68,2019-02-15,403141,God Gave Us Easter
20955,cambt3,2014-07-03,315493,The Berenstain Bears Around the World (I Can Read Level 1)
21082,kwet6ylbrrk@deleted,2022-07-10,152269,National Geographic Kids Chapters: Kangaroo to the Rescue!: And More True
21125,kwet6ylbrrk@deleted,2018-06-02,307991,Olivia's Opposites
21400,maryann774,2006-12-11,323510,"NEW LISTINGThe Kingfisher Animal Encyclopedia; Kingfis- David Burnie, 0753465809"
22303,jacobs68,2017-10-15,289610,The Cat Who Knew Shakespeare - Mass Market
23293,kwet6ylbrrk@deleted,2020-09-14,114188,Knight Owl
23491,kwet6ylbrrk@deleted,2023-06-05,250088,The Raft
23796,kwet6ylbrrk@deleted,2014-05-07,349086,Do Cows Meow? (A Lift-the-Flap Book)
27372,kwet6ylbrrk@deleted,2010-05-26,47570,"NEW LISTINGThe Crow: The Third Book of Pellinor by Croggon, Alison"
27523,jacobs68,2021-02-14,385641,"The Mitten, 20th Anniversary Edition"
27556,renae_clair,2023-11-04,50391,All Better!
28494,jacobs68,2019-11-14,370129,Pet Bugs: A Kid's Guide to Catching and Keeping Touchable Insects
28939,renae_clair,2021-03-31,21559,Animal-Speak: The Spiritual & Magical Powers of Creatures Great & Small
29397,maryann774,2011-10-11,371753,Baby Shark! (Little Golden Book)
30040,kwet6ylbrrk@deleted,2020-09-23,314537,The Great Rescue (Cabbage Patch Kids)
31031,maryann774,2021-07-10,155370,"Skippyjon Jones, Class Action"
31149,maryann774,2023-09-03,338252,"Easy Coloring Books for Senior: Flowers and Animals Coloring Book Easy, Fun"
31620,renae_clair,2023-10-15,84675,Throw the Damn Ball: Classic Poetry by Dogs
33208,kwet6ylbrrk@deleted,2009-04-27,96934,Gallop - 9780761147633
36476,cambt3,2016-09-13,340232,Charmed Book Of Shadows With ORIGINAL PAGES In English - BIG Size Halloween
